Sample,,,
Time,Force,Stroke,Gauge
sec,N,mm,mm
1.44,215.6734,0.02344792,0.000862122
1.45,217.9066,0.02361458,0.000720978
1.46,220.0127,0.02378125,0.000663757
1.47,221.928,0.02394792,0.000663757
1.48,223.6048,0.02411458,0.000720978
1.49,225.838,0.02428125,0.000869751
1.5,227.6818,0.02444792,0.000869751
1.51,230.0103,0.02461458,0.000869751
1.52,232.1164,0.02478125,0.001064301
1.53,234.1588,0.02494792,0.001064301
1.54,236.1536,0.02511458,0.001064301
1.55,238.0848,0.02528125,0.001285553
1.56,240.3816,0.02544792,0.001285553
1.57,242.5512,0.02561458,0.001285553
1.58,244.84,0.02578125,0.001552582
1.59,246.4135,0.02594792,0.001552582
1.6,248.6785,0.02611458,0.001869202
1.61,250.6336,0.02628125,0.001869202
1.62,252.6124,0.02644792,0.002168655
1.63,254.933,0.02661458,0.002168655
1.64,256.6735,0.02678125,0.002168655
1.65,258.9067,0.02694792,0.002319336
1.66,261.0127,0.02711458,0.002250671
1.67,262.9518,0.02728125,0.002250671
1.68,264.74,0.02744792,0.002058029
1.69,266.9414,0.02761458,0.002058029
1.7,269.0315,0.02778125,0.001911163
1.71,270.9786,0.02794792,0.001911163
1.72,272.886,0.02811458,0.001914978
1.73,274.9602,0.02828125,0.001914978
1.74,277.2172,0.02844792,0.002044678
1.75,279.2915,0.02861458,0.002044678
1.76,281.628,0.02878125,0.002239227
1.77,283.3684,0.02894792,0.002239227
1.78,285.2281,0.02911458,0.002445221
1.79,287.4056,0.02928125,0.002445221
1.8,289.4402,0.02944792,0.002614975
1.81,290.9342,0.02961458,0.002708435
1.82,292.8813,0.02978125,0.002708435
1.83,294.8443,0.02994792,0.002708435
1.84,297.3636,0.03011458,0.002700806
1.85,299.2074,0.03028125,0.002700806
1.86,301.4088,0.03044792,0.002622604
1.87,303.4671,0.03061458,0.002622604
1.88,305.5016,0.03078125,0.002548218
1.89,307.1467,0.03094792,0.002548218
1.9,309.0064,0.03111458,0.002557755
1.91,311.4144,0.03128125,0.00267601
1.92,313.7668,0.03144792,0.00267601
1.93,315.9603,0.03161458,0.00267601
1.94,317.5974,0.03178125,0.002843857
1.95,319.8703,0.03194791,0.002843857
1.96,322.1035,0.03211458,0.002998352
1.97,323.7565,0.03228125,0.002998352
1.98,325.9818,0.03244792,0.003110886
1.99,327.6984,0.03261458,0.003110886
2,329.7567,0.03278125,0.003206253
2.01,331.9581,0.03294792,0.003206253
2.02,333.6429,0.03311458,0.003206253
2.03,335.3675,0.03327083,0.003206253
2.04,337.8948,0.0334375,0.003173828
2.05,339.8816,0.03360417,0.003173828
2.06,341.3916,0.03377083,0.003101349
2.07,343.4897,0.0339375,0.003030777
2.08,345.4924,0.03410416,0.003030777
2.09,347.4871,0.03427083,0.003030777
2.1,349.6885,0.0344375,0.003030777
2.11,351.421,0.03460417,0.002988815
2.12,353.6463,0.03477083,0.002943039
2.13,355.657,0.0349375,0.002943039
2.14,357.7948,0.03511458,0.002847672
2.15,359.8213,0.03528125,0.002847672
2.16,361.4426,0.03544792,0.002696991
2.17,363.5486,0.03561458,0.002696991
2.18,365.2096,0.03578125,0.002555847
2.19,367.0772,0.03594792,0.002555847
2.2,368.9051,0.03611458,0.002483368
2.21,370.8601,0.03628125,0.002494812
2.22,372.7675,0.03644792,0.002494812
2.23,374.9688,0.03661458,0.002494812
2.24,376.9875,0.03678125,0.002567291
2.25,379.0537,0.03694792,0.002567291
2.26,380.6671,0.03711458,0.002689362
2.27,382.7175,0.03728125,0.002689362
2.28,384.5135,0.03744791,0.002689362
2.29,386.7388,0.03761458,0.002855301
2.3,388.6938,0.03778125,0.002855301
2.31,390.2674,0.03794792,0.003053665
2.32,391.9363,0.03811458,0.003053665
2.33,393.7483,0.03828125,0.003234863
2.34,395.8066,0.03844792,0.003234863
2.35,397.6584,0.03861458,0.003335953
2.36,399.7087,0.03878125,0.003324509
2.37,401.8148,0.03894792,0.003324509
2.38,403.444,0.03911458,0.003250122
2.39,405.2401,0.03928125,0.003250122
2.4,407.513,0.03944791,0.003189087
2.41,409.8972,0.03961458,0.003213882
2.42,411.5979,0.03979167,0.003213882
2.43,413.1873,0.03995833,0.003322601
2.44,415.1901,0.040125,0.003425598
2.45,417.3755,0.04029167,0.003425598
2.46,418.9809,0.04045833,0.003425598
2.47,421.0949,0.040625,0.003465652
2.48,423.1533,0.04079167,0.003465652
2.49,425.4023,0.04095833,0.003458023
2.5,426.9282,0.041125,0.003458023
2.51,428.5733,0.04129167,0.003458023
2.52,430.3932,0.04145833,0.00343895
2.53,432.3641,0.041625,0.003376007
2.54,434.2,0.04179167,0.003376007
2.55,435.8212,0.04195833,0.003171921
2.56,438.0862,0.042125,0.003171921
2.57,440.0333,0.04229167,0.002784729
2.58,441.8532,0.04245833,0.002784729
2.59,443.8082,0.042625,0.002233505
2.6,446.0255,0.04279166,0.001569748
2.61,448.0442,0.04295833,0.001569748
2.62,449.7448,0.043125,0.000862122
2.63,451.3105,0.04329167,0.000862122
2.64,453.2337,0.04345833,0.00025177
2.65,455.2682,0.043625,-0.00010109
2.66,457.3266,0.04379167,-0.00010109
2.67,459.2498,0.04394792,-0.00010109
2.68,460.7598,0.04411458,-0.000148773
2.69,462.7307,0.04428125,-2.67E-05
2.7,465.1467,0.04444792,-2.67E-05
2.71,466.903,0.04461458,0.000148773
2.72,468.715,0.04478125,0.000148773
2.73,471.274,0.04494791,0.000473023
2.74,473.7377,0.04511458,0.000473023
2.75,475.1205,0.04528125,0.001138687
2.76,477.1789,0.04544792,0.001138687
2.77,479.3087,0.04561458,0.001138687
2.78,481.4943,0.04578125,0.003093719
2.79,483.8387,0.04594792,0.003093719
2.8,486.2388,0.04611458,0.003093719
2.81,488.2495,0.04628125,0.003765106
2.82,490.2363,0.04644792,0.003765106
2.83,492.4138,0.04661458,0.004074097
2.84,494.2894,0.04678125,0.004074097
2.85,496.6736,0.04694792,0.004169464
2.86,498.8591,0.04711458,0.004169464
2.87,501.132,0.04728125,0.004169464
2.88,503.0234,0.04744792,0.004232407
2.89,505.2646,0.04761458,0.004232407
2.9,507.4501,0.04778125,0.004364014
2.91,509.5084,0.04794792,0.004579544
2.92,511.9721,0.04811458,0.004579544
2.93,514.0066,0.04828125,0.004814148
2.94,516.0332,0.04844791,0.004959106
2.95,518.1392,0.04861458,0.004959106
2.96,520.3644,0.04878125,0.004959106
2.97,522.5261,0.04894792,0.00494194
2.98,524.6241,0.04911458,0.00494194
2.99,526.7144,0.04928125,0.004789352
3,528.9793,0.04944792,0.004789352
3.01,530.7119,0.04961458,0.004587173
3.02,532.8257,0.04978125,0.004430771
3.03,535.3768,0.04994792,0.004430771
